Category,Order Date,Sales
Furniture,2015-01-06,2573.82
Furniture,2015-01-07,76.728
Furniture,2015-01-10,51.94
Furniture,2015-01-11,9.94
Furniture,2015-01-13,879.9390000000001
Furniture,2015-01-14,61.96
Furniture,2015-01-16,127.104
Furniture,2015-01-19,181.47
Furniture,2015-01-20,1413.51
Furniture,2015-01-26,217.2
Furniture,2015-01-27,333.0
Furniture,2015-01-31,290.666
Furniture,2015-02-08,14.56
Furniture,2015-02-11,1650.05
Furniture,2015-02-12,129.568
Furniture,2015-02-18,25.16
Furniture,2015-02-20,20.32
Furniture,2015-03-01,1893.995
Furniture,2015-03-03,928.8019999999999
Furniture,2015-03-07,966.984
Furniture,2015-03-11,8.32
Furniture,2015-03-14,1139.92
Furniture,2015-03-15,45.696
Furniture,2015-03-17,3265.23
Furniture,2015-03-18,1462.4499999999998
Furniture,2015-03-19,25.008
Furniture,2015-03-21,251.328
Furniture,2015-03-22,314.352
Furniture,2015-03-24,40.48
Furniture,2015-03-25,366.786
Furniture,2015-03-28,1184.72
Furniture,2015-03-29,890.841
Furniture,2015-03-30,332.968
Furniture,2015-03-31,1125.488
Furniture,2015-04-02,177.68
Furniture,2015-04-04,5.47
Furniture,2015-04-06,933.384
Furniture,2015-04-07,8.96
Furniture,2015-04-08,1487.6220000000003
Furniture,2015-04-12,308.499
Furniture,2015-04-15,187.76
Furniture,2015-04-18,317.058
Furniture,2015-04-19,76.14
Furniture,2015-04-20,1205.61
Furniture,2015-04-23,585.08
Furniture,2015-04-25,1790.29
Furniture,2015-04-26,230.28
Furniture,2015-04-29,631.0039999999999
Furniture,2015-05-04,39.64
Furniture,2015-05-05,127.869
Furniture,2015-05-07,1066.5700000000002
Furniture,2015-05-10,606.749
Furniture,2015-05-11,1279.0720000000001
Furniture,2015-05-12,734.846
Furniture,2015-05-13,279.456
Furniture,2015-05-14,310.88
Furniture,2015-05-16,232.88
Furniture,2015-05-18,149.232
Furniture,2015-05-20,150.192
Furniture,2015-05-21,107.772
Furniture,2015-05-25,29.32
Furniture,2015-05-26,875.7339999999999
Furniture,2015-05-27,567.12
Furniture,2015-05-30,355.455
Furniture,2015-06-01,2024.06
Furniture,2015-06-02,73.32
Furniture,2015-06-03,515.88
Furniture,2015-06-04,424.488
Furniture,2015-06-06,991.764
Furniture,2015-06-07,268.935
Furniture,2015-06-08,755.904
Furniture,2015-06-09,3233.744
Furniture,2015-06-14,212.94
Furniture,2015-06-15,897.862
Furniture,2015-06-16,647.84
Furniture,2015-06-17,6.24
Furniture,2015-06-20,193.0656
Furniture,2015-06-21,107.994
Furniture,2015-06-22,1023.9879999999999
Furniture,2015-06-24,4.272
Furniture,2015-06-25,447.84
Furniture,2015-06-27,85.98
Furniture,2015-06-28,1228.465
Furniture,2015-07-05,232.73600000000002
Furniture,2015-07-06,478.48
Furniture,2015-07-07,241.19400000000002
Furniture,2015-07-08,566.37
Furniture,2015-07-09,119.833
Furniture,2015-07-11,979.0500000000001
Furniture,2015-07-12,1333.846
Furniture,2015-07-13,351.216
Furniture,2015-07-14,31.984
Furniture,2015-07-18,259.136
Furniture,2015-07-19,70.56
Furniture,2015-07-20,1041.132
Furniture,2015-07-21,1732.346
Furniture,2015-07-22,888.072
Furniture,2015-07-25,77.92
Furniture,2015-07-26,919.448
Furniture,2015-07-28,129.888
Furniture,2015-07-30,1367.84
Furniture,2015-08-01,44.128
Furniture,2015-08-03,218.75
Furniture,2015-08-05,1962.724
Furniture,2015-08-08,658.472
Furniture,2015-08-11,12.35
Furniture,2015-08-12,85.44
Furniture,2015-08-16,853.092
Furniture,2015-08-19,928.0600000000001
Furniture,2015-08-20,921.6120000000001
Furniture,2015-08-23,4.224
Furniture,2015-08-24,13.28
Furniture,2015-08-25,6.28
Furniture,2015-08-26,10.68
Furniture,2015-08-27,1232.06
Furniture,2015-08-29,174.0585
Furniture,2015-09-02,70.71
Furniture,2015-09-05,31.984
Furniture,2015-09-06,41.88
Furniture,2015-09-07,1714.5929999999998
Furniture,2015-09-08,3855.444
Furniture,2015-09-09,864.024
Furniture,2015-09-10,1741.94
Furniture,2015-09-11,127.95
Furniture,2015-09-12,3825.852
Furniture,2015-09-13,354.306
Furniture,2015-09-14,629.78
Furniture,2015-09-15,118.49600000000001
Furniture,2015-09-17,35.34
Furniture,2015-09-19,961.0179999999999
Furniture,2015-09-20,3071.64
Furniture,2015-09-21,8.544
Furniture,2015-09-22,676.9680000000001
Furniture,2015-09-23,435.999
Furniture,2015-09-25,300.5328
Furniture,2015-09-26,752.3040000000001
Furniture,2015-09-27,691.4599999999999
Furniture,2015-09-28,337.088
Furniture,2015-09-29,3153.388
Furniture,2015-09-30,15.24
Furniture,2015-10-03,555.8389999999999
Furniture,2015-10-04,589.41
Furniture,2015-10-07,129.92
Furniture,2015-10-10,169.224
Furniture,2015-10-11,505.95799999999997
Furniture,2015-10-13,1544.53
Furniture,2015-10-14,1628.82
Furniture,2015-10-15,198.75600000000003
Furniture,2015-10-17,5.312
Furniture,2015-10-18,1151.22
Furniture,2015-10-20,328.59
Furniture,2015-10-21,1000.9100000000001
Furniture,2015-10-22,223.808
Furniture,2015-10-26,63.92
Furniture,2015-10-28,616.998
Furniture,2015-10-31,3591.032
Furniture,2015-11-01,31.68
Furniture,2015-11-02,89.34
Furniture,2015-11-03,1355.388
Furniture,2015-11-04,744.9499999999999
Furniture,2015-11-05,443.508
Furniture,2015-11-07,683.144
Furniture,2015-11-09,279.186
Furniture,2015-11-10,657.0200000000001
Furniture,2015-11-11,2071.424
Furniture,2015-11-12,697.0572
Furniture,2015-11-14,69.264
